Years;Conversion_costs
2025;0.256281298330125
2026;0.2508928985561557
2027;0.2464333519854715
2028;0.24166077596165106
2029;0.2370467544827618
2030;0.232709140863015
2031;0.22557030101411124
2032;0.21931933141896157
2033;0.2142180145896527
2034;0.20857758058441955
2035;0.20160260274355998
2036;0.19347166175659858
2037;0.1862056372065052
2038;0.17999409903084634
2039;0.17507176761539367
2040;0.16982429948254277
2041;0.17159658902161462
2042;0.17391518542092302
2043;0.17659695348636006
2044;0.1794207885779839
2045;0.18153910988556674
2046;0.1820585036101562
2047;0.18066024873917305
2048;0.17817145292871184
2049;0.1764507088215772
2050;0.17636977318079686
