Years;Export_terminal_costs
2025;0.09065988144523404
2026;0.09064751164461671
2027;0.09063644965377966
2028;0.09062526145070642
2029;0.09061450585829509
2030;0.09060433084553113
2031;0.09060908926677892
2032;0.09061531898747643
2033;0.090623437009619
2034;0.09063140238966041
2035;0.09063813470191541
2036;0.0906437527505189
2037;0.09065094699225523
2038;0.0906600988027217
2039;0.09067170030067344
2040;0.0906835009956094
2041;0.0906962899679867
2042;0.09071039797892205
2043;0.09072556385689208
2044;0.09074146988566546
2045;0.09075685015654766
2046;0.0907703703633634
2047;0.09078156802702714
2048;0.09079171788899049
2049;0.09080365870132039
2050;0.09080517027669877
