Years;Import_terminal_costs
2025;0.10192294783340712
2026;0.10184571014559855
2027;0.10177484498785597
2028;0.10170392910017541
2029;0.10163549678868682
2030;0.10157023682614826
2031;0.10160145057265743
2032;0.10164009606827365
2033;0.10168806422509345
2034;0.10173620071191938
2035;0.1017796698615856
2036;0.1018190275648953
2037;0.10186638949623453
2038;0.10192349526896329
2039;0.10199258409169622
2040;0.1020635707573856
2041;0.10214003301998441
2042;0.10222349079114679
2043;0.10231280568764103
2044;0.10240658733188568
2045;0.10249918600952157
2046;0.1025846468749502
2047;0.10266093575360366
2048;0.10273382862900698
2049;0.10281613325394333
2050;0.10282351246473181
