Years;LCOH_BLUE
2025;2.5898200972602736
2026;2.373446744054794
2027;2.155720174849315
2028;1.8216518896438356
2029;1.8311958884383561
2030;1.8393866712328766
2031;1.8565167630821917
2032;1.8722226483390412
2033;1.886501533333048
2034;1.8993507640773544
2035;1.9107678192844455
2036;1.9207503037311824
2037;1.929295941955582
2038;1.9364025722687617
2039;1.9420681410662826
2040;1.9462906974239274
2041;1.9405007239636898
2042;1.9338561559764642
2043;1.9263553207885997
2044;1.9179966293601287
2045;1.9087785721030814
2046;1.8981934589088862
2047;1.8867884713744005
2048;1.8745623152166397
2049;1.8615137608667665
2050;1.8396297082191784
