;LH2_Conversion_emissions
2025;183.78115991379315
2026;174.35426747586214
2027;165.1003455413794
2028;156.0193941103449
2029;147.11141318275872
2030;138.3764027586208
2031;129.81436283793116
2032;121.42529342068978
2033;113.20919450689668
2034;105.16606609655186
2035;97.29590818965531
2036;89.59872078620702
2037;82.07450388620703
2038;74.72325748965531
2039;67.54498159655185
2040;60.53967620689665
2041;53.31815768793113
2042;46.35609492413802
2043;39.653487915517324
2044;33.21033666206905
2045;27.02664116379318
2046;21.102401420689727
2047;15.43761743275869
2048;10.03228920000007
2049;4.886416722413864
2050;0.0
