Years;LH2_Export_terminal_costs
2025;0.20960329352946178
2026;0.2073427215399462
2027;0.20536512575887328
2028;0.20329216519091464
2029;0.20126750844943503
2030;0.1993270596836477
2031;0.19572081523556734
2032;0.19240125119151
2033;0.1894756023544858
2034;0.18640691640100693
2035;0.18290968805235072
2036;0.17901239784492912
2037;0.1754170829165368
2038;0.1722205801820082
2039;0.16954851533649637
2040;0.16680771911062048
2041;0.16420115247325923
2042;0.16181145310465853
2043;0.1595659218823089
2044;0.15737678696429402
2045;0.15490758445322048
2046;0.15180365614404956
2047;0.1479384794529998
2048;0.1436403910556724
2049;0.13964719591027155
2050;0.13630495503484777
