Years;LH2_Import_terminal_costs
2025;0.19116000811175116
2026;0.18911054606632355
2027;0.18725549515646728
2028;0.1853349264540941
2029;0.1834475435867065
2030;0.18161801352704654
2031;0.17802354703590068
2032;0.1746260365475188
2033;0.17149915482732755
2034;0.16827400333247283
2035;0.1647544333981833
2036;0.16096001180519998
2037;0.15737305414437416
2038;0.1540600895938364
2039;0.1511074258830812
2040;0.14810754214001476
2041;0.14519987719821797
2042;0.14244120503648566
2043;0.13978157969278843
2044;0.1371606999016876
2045;0.1343474072603938
2046;0.1310980434601018
2047;0.12732568458828997
2048;0.12325590546025686
2049;0.11939559497858554
2050;0.11598250498773817
