Years;LH2_Import_terminal_emissions
2025;292.28
2026;274.9
2027;257.5199999999999
2028;240.1399999999999
2029;222.7599999999999
2030;205.38000000000002
2031;191.8836
2032;178.3872
2033;164.89079999999998
2034;151.3944
2035;137.89799999999997
2036;124.40159999999996
2037;110.90519999999997
2038;97.40879999999996
2039;83.91239999999996
2040;70.41600000000001
2041;56.332800000000006
2042;42.24960000000001
2043;28.166400000000007
2044;14.083200000000005
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
