Years;LH2_Reconversion_costs
2025;0.19116352330389252
2026;0.18263979975919628
2027;0.17427789655236436
2028;0.1658800145921627
2029;0.15751851756370525
2030;0.1492076377264875
2031;0.14107084175116139
2032;0.13305472142578761
2033;0.125190350009438
2034;0.11724654420391749
2035;0.10912088384710839
2036;0.10084343245136826
2037;0.09267903031815622
2038;0.08464637189463672
2039;0.07676746791388799
2040;0.06883717793232728
2041;0.0651949534502109
2042;0.0615799268150485
2043;0.057963296700291364
2044;0.0543170195348034
2045;0.050561459480815016
2046;0.04663363925448861
2047;0.0425375189139178
2048;0.0383681180812835
2049;0.03426917094985413
2050;0.030279546686419384
