Years;LH2_Reconversion_emissions
2025;227.32888888888883
2026;207.70222222222213
2027;188.8479999999999
2028;170.76622222222213
2029;153.4568888888888
2030;136.92
2031;123.65831999999997
2032;110.99647999999998
2033;98.93447999999997
2034;87.47231999999995
2035;76.60999999999996
2036;66.34751999999995
2037;56.68487999999995
2038;47.622079999999954
2039;39.15911999999996
2040;31.296
2041;23.784959999999998
2042;16.89984
2043;10.64064
2044;5.00736
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
