Years;LH2_Shipping_costs
2025;0.23520940904489787
2026;0.22346594824191704
2027;0.2114873760796065
2028;0.19923333106064098
2029;0.18778560557076593
2030;0.17633285532067225
2031;0.16481352479119324
2032;0.15329076085825127
2033;0.14176455695125165
2034;0.1302349068281293
2035;0.11870180455892242
2036;0.10716524451016742
2037;0.09562522133007373
2038;0.08401541706820616
2039;0.0723678803679492
2040;0.060720399004344575
2041;0.06054150371993487
2042;0.06036712550748068
2043;0.0601957875365632
2044;0.06003499392307764
2045;0.05980906034633107
2046;0.05963742353503832
2047;0.05946966801789441
2048;0.05930557070545895
2049;0.059144936818959555
2050;0.058987595253145404
