Years;LH2_Shipping_emissions
2025;2777.2307045634666
2026;2694.4009816948533
2027;2611.6446525395204
2028;2528.9617170974693
2029;2446.3521753686996
2030;2363.8160273532108
2031;2281.3532730510037
2032;2198.963912462078
2033;2116.6479455864333
2034;2034.4053724240707
2035;1952.2361929749886
2036;1870.1404072391886
2037;1788.1180152166692
2038;1706.1690169074316
2039;1624.2934123114753
2040;1542.4912014288004
2041;1460.6889905461253
2042;1378.9968702333722
2043;1297.4148404905413
2044;1215.9429013176323
2045;1134.5810527146452
2046;1056.0485317586545
2047;977.5160108026636
2048;898.9834898466727
2049;820.4509688906818
2050;741.9184479346897
