Years;LH2_cargo_cost
2025;2.9738978556239655
2026;2.9238167516803704
2027;2.8760975774288244
2028;2.8279373031373396
2029;2.780398493840974
2030;2.7337343622638746
2031;2.698955886170055
2032;2.6664759182740045
2033;2.636972776860422
2034;2.606711234101469
2035;2.5738117100360736
2036;2.538570123597784
2037;2.505701349261978
2038;2.475775110267986
2039;2.4495170995032605
2040;2.423055702588826
2041;2.4105314447147768
2042;2.3994996455044575
2043;2.38946320220232
2044;2.379870419557818
2045;2.368775448089834
2046;2.354284500060812
2047;2.3359314511056004
2048;2.315777796495184
2049;2.2979111060444697
2050;2.2727414419713434
