Years;LH2_transport_emissions
2025;1170.0891244188492
2026;1107.5841800091894
2027;1046.0724363460695
2028;985.5538934294894
2029;926.0285512594497
2030;867.4964098359501
2031;816.3438336034349
2032;766.0118536730153
2033;716.5004700446912
2034;667.8096827184627
2035;619.9394916943297
2036;572.8898969722925
2037;526.6608985523508
2038;481.2524964345047
2039;436.66469061875415
2040;392.89748110509925
2041;348.8955515914444
2042;305.85067653093284
2043;263.76285592356476
2044;222.63208976934004
2045;182.45837806825875
2046;169.88538181296272
2047;157.31238555766666
2048;144.7393893023706
2049;132.16639304707456
2050;119.59339679177833
