Years;LNH3_Import_terminal_costs
2025;0.07479299710458334
2026;0.07476361657490889
2027;0.07474742221041873
2028;0.07472678402416857
2029;0.07470839670642249
2030;0.0746939333237783
2031;0.07469679436203244
2032;0.0747130141740978
2033;0.07474758970241623
2034;0.07477549996705248
2035;0.07478344095284943
2036;0.07477273979985088
2037;0.07477611013340156
2038;0.07479806437368679
2039;0.0748444564445286
2040;0.07488764576083565
2041;0.07493708992639844
2042;0.07499663970347069
2043;0.07506290744811074
2044;0.07513180315567684
2045;0.07518764823412766
2046;0.0752139162705137
2047;0.07520471154767039
2048;0.07517533394421425
2049;0.07516016379941903
2050;0.07517532691330507
