Years;LNH3_Reconversion_costs
2025;0.6895867099004496
2026;0.6637381561212099
2027;0.6413610642610739
2028;0.6181712654456222
2029;0.5957427172637202
2030;0.574394613494017
2031;0.5568659010214323
2032;0.5420212808154976
2033;0.5305939798499614
2034;0.5174574056393344
2035;0.5002803641774387
2036;0.4796774505085154
2037;0.46163108568554656
2038;0.44662310797635446
2039;0.4352354548301004
2040;0.42277205110897903
2041;0.41382084160423177
2042;0.4057151205414772
2043;0.3978171486891011
2044;0.38947808874366135
2045;0.3787122838853089
2046;0.363804070378376
2047;0.34461707769974664
2048;0.3234005322185571
2049;0.3039525506809204
2050;0.287540740828599
