Years;LNH3_Shipping_costs
2025;0.014938978339336806
2026;0.013927083245758145
2027;0.012913745365953933
2028;0.011494263987755441
2029;0.011271621781194481
2030;0.011045240986710557
2031;0.010830098939549247
2032;0.010613030419782302
2033;0.010394953961795943
2034;0.010169951362053188
2035;0.009935256850544472
2036;0.00969152181287791
2037;0.009445829141409541
2038;0.009198843891066791
2039;0.008951386615509446
2040;0.008697837112653116
2041;0.008674502839592242
2042;0.008650174768632566
2043;0.008624216416669566
2044;0.008595863658182845
2045;0.008562190577689257
2046;0.008518405435020669
2047;0.008465312569742887
2048;0.008405795085782809
2049;0.008346267457936861
2050;0.008262585929023767
