Years;LNH3_costs
2025;1.8156770200340477
2026;1.801533325188199
2027;1.788508273475636
2028;1.7753683385599366
2029;1.7625938289491678
2030;1.7503117064975422
2031;1.7464903685949786
2032;1.743871150474799
2033;1.742722258694159
2034;1.7413620006471084
2035;1.7390026906064695
2036;1.7358313257596647
2037;1.7338778904596674
2038;1.7333417621875467
2039;1.734468187469903
2040;1.7356540847824173
2041;1.7445861119717696
2042;1.7544738634305537
2043;1.7651477923342014
2044;1.7764012030418344
2045;1.787401768621835
2046;1.7972722011884301
2047;1.8057108060120617
2048;1.813562647443193
2049;1.8227052369647807
2050;1.8227261389244909
