Years;LNH3_transport_costs
2025;1.093036104385297
2026;1.0614607848811768
2027;1.0343074698579955
2028;1.0056144792476567
2029;0.9790420816271945
2030;0.9538296813468923
2031;0.9296770766604372
2032;0.909117942969357
2033;0.893156974299333
2034;0.8749289963687509
2035;0.8512812838558197
2036;0.8230099920469884
2037;0.7981828931280737
2038;0.7774799763801268
2039;0.7617289895772261
2040;0.7445654047462302
2041;0.7376466579633152
2042;0.7321364406947484
2043;0.7272072991765204
2044;0.7219813523515342
2045;0.7135949321301932
2046;0.6994051773836238
2047;0.6789474582132429
2048;0.6553278319251861
2049;0.6342697349133386
2050;0.6179166769946091
