Years;LH2_transport_costs
2025;2.042047430133719
2026;1.978136150110184
2027;1.9167569086350145
2028;1.854633800099906
2029;1.7929940186678437
2030;1.7321209358239507
2031;1.6703058295908821
2032;1.6107949900343326
2033;1.5543663757565838
2034;1.4966685190914326
2035;1.4355107944440229
2036;1.3712306945818178
2037;1.3092918763475552
2038;1.2503404378121805
2039;1.1952011651382732
2040;1.1393689828976248
2041;1.1129534000043497
2042;1.0877937808065483
2043;1.0632989982562788
2044;1.0388127536333802
2045;1.0120579862413521
2046;0.9808130697559986
2047;0.9445101318944995
2048;0.9055174520584902
2049;0.8685631729597618
2050;0.835594824553593
