Years;Minimal_production_costs
2025;2.204814438351501
2026;2.208151952102627
2027;2.2108765857524055
2028;2.2129121152654556
2029;2.2141767946557533
2030;2.214583014360132
2031;2.2053277029068017
2032;2.1579351114294556
2033;2.1121879103013153
2034;2.0681536462347356
2035;2.02619716257161
2036;1.9851290819822405
2037;1.9451282731811503
2038;1.908207820227787
2039;1.8711123070760973
2040;1.8340759218350555
2041;1.8017823291700557
2042;1.7708218947763135
2043;1.7405667032909504
2044;1.7142073374615918
2045;1.6595645117814273
2046;1.6274200600322135
2047;1.5963384480077916
2048;1.5662248230526845
2049;1.5369963695761604
2050;1.5085803374409712
