;NH3_Conversion_emissions
2025;92.9716456034483
2026;89.25277977931037
2027;85.53391395517245
2028;81.81504813103453
2029;78.0961823068966
2030;74.37731648275867
2031;69.01523087586213
2032;63.826115772413864
2033;58.80997117241387
2034;53.96679707586214
2035;49.29659348275869
2036;44.79936039310351
2037;40.475097806896606
2038;36.32380572413798
2039;32.34548414482764
2040;28.540133068965563
2041;25.68611976206901
2042;22.832106455172458
2043;19.978093148275907
2044;17.124079841379352
2045;14.270066534482801
2046;11.41605322758625
2047;8.562039920689697
2048;5.7080266137931455
2049;2.8540133068965945
2050;0.0
