Years;NH3_Export_terminal_emissions
2025;0.9623382362970296
2026;0.9142213244821782
2027;0.8661044126673266
2028;0.8179875008524752
2029;0.7698705890376237
2030;0.7217536772227722
2031;0.6736367654079207
2032;0.6255198535930692
2033;0.5774029417782177
2034;0.5292860299633662
2035;0.48116911814851465
2036;0.4330522063336632
2037;0.3849352945188117
2038;0.3368183827039602
2039;0.2887014708891087
2040;0.2405845590742572
2041;0.19246764725940568
2042;0.14435073544455418
2043;0.09623382362970268
2044;0.048116911814851185
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
