Years;NH3_Reconversion_emissions
2025;4911.927777777777
2026;4502.251111111109
2027;4107.443999999998
2028;3727.506444444442
2029;3362.4384444444427
2030;3012.24
2031;2732.2092599999996
2032;2463.7254399999993
2033;2206.788539999999
2034;1961.398559999999
2035;1727.5554999999988
2036;1505.2593599999989
2037;1294.5101399999987
2038;1095.307839999999
2039;907.6524599999991
2040;731.5439999999999
2041;562.70208
2042;405.12672000000003
2043;258.8179200000001
2044;123.77568000000004
2045;0.0
2046;0.0
2047;0.0
2048;0.0
2049;0.0
2050;0.0
