Years;NH3_Shipping_emissions
2025;28.522670811552775
2026;27.701467353379464
2027;26.880991546694858
2028;26.061243391498962
2029;25.242222887791776
2030;24.423930035573306
2031;23.575590413483923
2032;22.73020239087894
2033;21.887762996067636
2034;21.048269257359312
2035;20.211718203063256
2036;19.378106861488757
2037;18.547432260945104
2038;17.719691429741594
2039;16.894881396187515
2040;16.072999188592156
2041;15.253325079975367
2042;14.436932717425957
2043;13.623817643407866
2044;12.813975400385033
2045;12.007401530821392
2046;11.230463858753646
2047;10.455646026450426
2048;9.682948033911732
2049;8.912369881137565
2050;8.143911568127908
