Years;New_Pipeline_costs_on_off
2025;0.4675182164837055
2026;0.46960800748370546
2027;0.47169779848370547
2028;0.4737875894837055
2029;0.4758773804837054
2030;0.47796717148370543
2031;0.47806216198370544
2032;0.47815715248370544
2033;0.4782521429837055
2034;0.47834713348370544
2035;0.4784421239837054
2036;0.4785371144837055
2037;0.47863210498370545
2038;0.4787270954837055
2039;0.47882208598370546
2040;0.47891707648370546
2041;0.47787218098370543
2042;0.4768272854837055
2043;0.47578238998370537
2044;0.4747374944837054
2045;0.4736925989837054
2046;0.47264770348370544
2047;0.4716028079837054
2048;0.47055791248370543
2049;0.4695130169837054
2050;0.4684681214837054
