Years;New_Pipeline_costs_off
2025;0.368797335237229
2026;0.36864092698391615
2027;0.3685547157313797
2028;0.3684448476419102
2029;0.36834696212780815
2030;0.3682699658162563
2031;0.36828519665113063
2032;0.36837154337470285
2033;0.3685556073807496
2034;0.36870418862790977
2035;0.368746462737051
2036;0.3686894947835293
2037;0.3687074368693114
2038;0.36882431101739077
2039;0.3690712807911946
2040;0.36930120059183175
2041;0.36956441829613723
2042;0.3698814335685045
2043;0.37023421217069385
2044;0.37060098082328685
2045;0.3708982740059966
2046;0.37103811279497084
2047;0.3709891111384962
2048;0.37083271846300647
2049;0.37075195967900176
2050;0.3708326810337213
