Years;Pipeline_costs
2020;0.39940623954231796
2021;0.39940623954231796
2022;0.39940623954231796
2023;0.39940623954231796
2024;0.39940623954231796
2025;0.39940623954231796
2026;0.39940623954231796
2027;0.39940623954231796
2028;0.39940623954231796
2029;0.39940623954231796
2030;0.39940623954231796
2031;0.39940623954231796
2032;0.39940623954231796
2033;0.39940623954231796
2034;0.39940623954231796
2035;0.39940623954231796
2036;0.39940623954231796
2037;0.39940623954231796
2038;0.39940623954231796
2039;0.39940623954231796
2040;0.39940623954231796
2041;0.39940623954231796
2042;0.39940623954231796
2043;0.39940623954231796
2044;0.39940623954231796
2045;0.39940623954231796
2046;0.39940623954231796
2047;0.39940623954231796
2048;0.39940623954231796
2049;0.39940623954231796
2050;0.39940623954231796
