Years;LNH3_transport
2025;1.214362614284557
2026;1.1816132508958264
2027;1.1533525596630063
2028;1.1239515031470775
2029;1.0954954177033267
2030;1.0684316959183549
2031;1.0427629401967926
2032;1.0207601035926364
2033;1.003442329604268
2034;0.9838522656811315
2035;0.9587942141832533
2036;0.9290746946002355
2037;0.9028722051434614
2038;0.8808773717698458
2039;0.8639310358225721
2040;0.8455813180636229
2041;0.8390724675170547
2042;0.8340264442606952
2043;0.829606433316896
2044;0.8249232381488947
2045;0.8170681891672507
2046;0.803352977224353
2047;0.7832951566037165
2048;0.7600465386989086
2049;0.7394314484885742
2050;0.7230325311270316
