Years;Shipping_costs
2025;0.7478425521942956
2026;0.7407568323796587
2027;0.7337543278137549
2028;0.7268387024067149
2029;0.7200137815051719
2030;0.7132835588374642
2031;0.7114912748061347
2032;0.7098367765503157
2033;0.7083228807553198
2034;0.7069526905481684
2035;0.7057296000163426
2036;0.7046572994555608
2037;0.7037397809411687
2038;0.7029813446864182
2039;0.7023866059805782
2040;0.7019605027370769
2041;0.7051536094731278
2042;0.7085262292715511
2043;0.7120843200857069
2044;0.7158341996819859
2045;0.7197825562724695
2046;0.7239364604213133
2047;0.7283033774686261
2048;0.7328911807024601
2049;0.7377081652730849
2050;0.7378066667886402
