Years;CAPEX ($/tpa) Liquefaction;OPEX ($/t/a) Liquefaction;Elec Use (kwh/kg H2) Liquefaction
2020;5982,905983;239,3162393;6,1
2021;5923,076923;236,9230769;6,039
2022;5863,247863;234,5299145;5,978
2023;5803,418803;232,1367521;5,917
2024;5743,589744;229,7435897;5,856
2025;5683,760684;227,3504274;5,795
2026;5623,931624;224,957265;5,734
2027;5564,102564;222,5641026;5,673
2028;5504,273504;220,1709402;5,612
2029;5444,444444;217,7777778;5,551
2030;5384,615385;215,3846154;5,49
2031;5330,769231;213,2307692;5,4351
2032;5276,923077;211,0769231;5,3802
2033;5223,076923;208,9230769;5,3253
2034;5169,230769;206,7692308;5,2704
2035;5115,384615;204,6153846;5,2155
2036;5061,538462;202,4615385;5,1606
2037;5007,692308;200,3076923;5,1057
2038;4953,846154;198,1538462;5,0508
2039;4900;196;4,9959
2040;4846,153846;193,8461538;4,941
2041;4792,307692;191,6923077;4,8861
2042;4738,461538;189,5384615;4,8312
2043;4684,615385;187,3846154;4,7763
2044;4630,769231;185,2307692;4,7214
2045;4576,923077;183,0769231;4,6665
2046;4523,076923;180,9230769;4,6116
2047;4469,230769;178,7692308;4,5567
2048;4415,384615;176,6153846;4,5018
2049;4361,538462;174,4615385;4,4469
2050;4307,692308;172,3076923;4,392
