Years;United Arab Emirates;Angola;Argentina;Austria;Australia;Azerbaijan;Estonia;Bangladesh;Belgium;Bulgaria;Bahrain;Brunei darussalam;Bolivia;Brazil;Belarus;Canada;Switzerland;Chile;China;Colombia;Czech Republic;Germany;Denmark;Dominican Republic;Algeria;Egypt;Spain;Finland;France;Ghana;Georgia;Equatorial Guinea;Greece;Hungary;Indonesia;Ireland;India;Iraq;Iran;Italy;Japan;Republic of Korea;Kuwait;Kazakhstan;Israel;Libya;Morocco;Moldova;Myanmar;Mexico;Malaysia;Nigeria;Netherlands;Norway;Oman;Peru;Pakistan;Poland;Portugal;Qatar;Romania;Russian Federation;Saudi Arabia;Sweden;Singapore;Slovenia;Slovakia;Syria;Thailand;Turkmenistan;Tunisia;Turkey;Trinidad and Tobago;Taiwan;Ukraine;United Kingdom;United States;Uzbekistan;Venezuela;Yemen;Croatia;Mozambique;Vietnam;Philippines;Iceland;Papua New Guinea;Cameroon;South Africa
2020;36,3016512131;121,4940320400;37,9610269741;46,6835326539;72,8464276693;12,3856946541;46,6835326539;30,9357080327;46,6835326539;46,6835326539;36,3016512131;36,3016512131;37,9610269741;37,9610269741;12,3856946541;27,1875486861;46,6835326539;37,9610269741;49,0564753756;37,9610269741;46,6835326539;46,6835326539;46,6835326539;37,9610269741;36,3016512131;36,3016512131;46,6835326539;46,6835326539;46,6835326539;121,4940320400;12,3856946541;121,4940320400;46,6835326539;46,6835326539;42,4026417435;46,6835326539;30,9357080327;36,3016512131;36,3016512131;46,6835326539;72,8464276693;72,8464276693;36,3016512131;12,3856946541;36,3016512131;36,3016512131;36,3016512131;12,3856946541;42,4026417435;37,9610269741;42,4026417435;121,4940320400;46,6835326539;46,6835326539;36,3016512131;37,9610269741;30,9357080327;46,6835326539;46,6835326539;36,3016512131;46,6835326539;12,3856946541;36,3016512131;46,6835326539;42,4026417435;46,6835326539;46,6835326539;36,3016512131;42,4026417435;12,3856946541;36,3016512131;36,3016512131;37,9610269741;49,0564753756;12,3856946541;46,6835326539;27,1875486861;12,3856946541;37,9610269741;36,3016512131;46,6835326539;121,4940320400;42,4026417435;42,4026417435;46,6835326539;42,4026417435;121,4940320400;121,4940320400
2021;36,7645154387;119,4450891440;38,0860718628;47,0026538783;69,3967300618;12,7300950235;47,0026538783;34,3777500610;47,0026538783;47,0026538783;36,7645154387;36,7645154387;38,0860718628;38,0860718628;12,7300950235;26,9115600950;47,0026538783;38,0860718628;52,4872796244;38,0860718628;47,0026538783;47,0026538783;47,0026538783;38,0860718628;36,7645154387;36,7645154387;47,0026538783;47,0026538783;47,0026538783;119,4450891440;12,7300950235;119,4450891440;47,0026538783;47,0026538783;44,0892989120;47,0026538783;34,3777500610;36,7645154387;36,7645154387;47,0026538783;69,3967300618;69,3967300618;36,7645154387;12,7300950235;36,7645154387;36,7645154387;36,7645154387;12,7300950235;44,0892989120;38,0860718628;44,0892989120;119,4450891440;47,0026538783;47,0026538783;36,7645154387;38,0860718628;34,3777500610;47,0026538783;47,0026538783;36,7645154387;47,0026538783;12,7300950235;36,7645154387;47,0026538783;44,0892989120;47,0026538783;47,0026538783;36,7645154387;44,0892989120;12,7300950235;36,7645154387;36,7645154387;38,0860718628;52,4872796244;12,7300950235;47,0026538783;26,9115600950;12,7300950235;38,0860718628;36,7645154387;47,0026538783;119,4450891440;44,0892989120;44,0892989120;47,0026538783;44,0892989120;119,4450891440;119,4450891440
2022;37,1377760337;119,5804091020;39,0321961047;47,2092893720;66,6227984652;12,9920806052;47,2092893720;37,8920937885;47,2092893720;47,2092893720;37,1377760337;37,1377760337;39,0321961047;39,0321961047;12,9920806052;26,7557374396;47,2092893720;39,0321961047;56,0685014759;39,0321961047;47,2092893720;47,2092893720;47,2092893720;39,0321961047;37,1377760337;37,1377760337;47,2092893720;47,2092893720;47,2092893720;119,5804091020;12,9920806052;119,5804091020;47,2092893720;47,2092893720;45,9360884630;47,2092893720;37,8920937885;37,1377760337;37,1377760337;47,2092893720;66,6227984652;66,6227984652;37,1377760337;12,9920806052;37,1377760337;37,1377760337;37,1377760337;12,9920806052;45,9360884630;39,0321961047;45,9360884630;119,5804091020;47,2092893720;47,2092893720;37,1377760337;39,0321961047;37,8920937885;47,2092893720;47,2092893720;37,1377760337;47,2092893720;12,9920806052;37,1377760337;47,2092893720;45,9360884630;47,2092893720;47,2092893720;37,1377760337;45,9360884630;12,9920806052;37,1377760337;37,1377760337;39,0321961047;56,0685014759;12,9920806052;47,2092893720;26,7557374396;12,9920806052;39,0321961047;37,1377760337;47,2092893720;119,5804091020;45,9360884630;45,9360884630;47,2092893720;45,9360884630;119,5804091020;119,5804091020
2023;37,4479741806;124,6537791360;40,0334040416;47,3467025076;64,8987764241;13,2135183051;47,3467025076;42,3476429706;47,3467025076;47,3467025076;37,4479741806;37,4479741806;40,0334040416;40,0334040416;13,2135183051;26,7294004390;47,3467025076;40,0334040416;62,1129093767;40,0334040416;47,3467025076;47,3467025076;47,3467025076;40,0334040416;37,4479741806;37,4479741806;47,3467025076;47,3467025076;47,3467025076;124,6537791360;13,2135183051;124,6537791360;47,3467025076;47,3467025076;47,9461385370;47,3467025076;42,3476429706;37,4479741806;37,4479741806;47,3467025076;64,8987764241;64,8987764241;37,4479741806;13,2135183051;37,4479741806;37,4479741806;37,4479741806;13,2135183051;47,9461385370;40,0334040416;47,9461385370;124,6537791360;47,3467025076;47,3467025076;37,4479741806;40,0334040416;42,3476429706;47,3467025076;47,3467025076;37,4479741806;47,3467025076;13,2135183051;37,4479741806;47,3467025076;47,9461385370;47,3467025076;47,3467025076;37,4479741806;47,9461385370;13,2135183051;37,4479741806;37,4479741806;40,0334040416;62,1129093767;13,2135183051;47,3467025076;26,7294004390;13,2135183051;40,0334040416;37,4479741806;47,3467025076;124,6537791360;47,9461385370;47,9461385370;47,3467025076;47,9461385370;124,6537791360;124,6537791360
2024;37,7478979609;131,5474594540;41,1482553562;47,2747820241;64,5155031027;13,3986976943;47,2747820241;48,0709731282;47,2747820241;47,2747820241;37,7478979609;37,7478979609;41,1482553562;41,1482553562;13,3986976943;26,8405869530;47,2747820241;41,1482553562;69,9399632110;41,1482553562;47,2747820241;47,2747820241;47,2747820241;41,1482553562;37,7478979609;37,7478979609;47,2747820241;47,2747820241;47,2747820241;131,5474594540;13,3986976943;131,5474594540;47,2747820241;47,2747820241;50,0571504120;47,2747820241;48,0709731282;37,7478979609;37,7478979609;47,2747820241;64,5155031027;64,5155031027;37,7478979609;13,3986976943;37,7478979609;37,7478979609;37,7478979609;13,3986976943;50,0571504120;41,1482553562;50,0571504120;131,5474594540;47,2747820241;47,2747820241;37,7478979609;41,1482553562;48,0709731282;47,2747820241;47,2747820241;37,7478979609;47,2747820241;13,3986976943;37,7478979609;47,2747820241;50,0571504120;47,2747820241;47,2747820241;37,7478979609;50,0571504120;13,3986976943;37,7478979609;37,7478979609;41,1482553562;69,9399632110;13,3986976943;47,2747820241;26,8405869530;13,3986976943;41,1482553562;37,7478979609;47,2747820241;131,5474594540;50,0571504120;50,0571504120;47,2747820241;50,0571504120;131,5474594540;131,5474594540
2025;38,0343948066;137,4053236030;42,3534155250;46,9570923511;64,8972341491;13,5635214597;46,9570923511;57,6311342926;46,9570923511;46,9570923511;38,0343948066;38,0343948066;42,3534155250;42,3534155250;13,5635214597;27,0190741819;46,9570923511;42,3534155250;78,5205299711;42,3534155250;46,9570923511;46,9570923511;46,9570923511;42,3534155250;38,0343948066;38,0343948066;46,9570923511;46,9570923511;46,9570923511;137,4053236030;13,5635214597;137,4053236030;46,9570923511;46,9570923511;52,1938335567;46,9570923511;57,6311342926;38,0343948066;38,0343948066;46,9570923511;64,8972341491;64,8972341491;38,0343948066;13,5635214597;38,0343948066;38,0343948066;38,0343948066;13,5635214597;52,1938335567;42,3534155250;52,1938335567;137,4053236030;46,9570923511;46,9570923511;38,0343948066;42,3534155250;57,6311342926;46,9570923511;46,9570923511;38,0343948066;46,9570923511;13,5635214597;38,0343948066;46,9570923511;52,1938335567;46,9570923511;46,9570923511;38,0343948066;52,1938335567;13,5635214597;38,0343948066;38,0343948066;42,3534155250;78,5205299711;13,5635214597;46,9570923511;27,0190741819;13,5635214597;42,3534155250;38,0343948066;46,9570923511;137,4053236030;52,1938335567;52,1938335567;46,9570923511;52,1938335567;137,4053236030;137,4053236030
2026;38,3256584583;141,2460422530;43,5771892636;46,4163010090;65,1543154771;13,7332064727;46,4163010090;70,3297856035;46,4163010090;46,4163010090;38,3256584583;38,3256584583;43,5771892636;43,5771892636;13,7332064727;27,2104326724;46,4163010090;43,5771892636;86,0595691433;43,5771892636;46,4163010090;46,4163010090;46,4163010090;43,5771892636;38,3256584583;38,3256584583;46,4163010090;46,4163010090;46,4163010090;141,2460422530;13,7332064727;141,2460422530;46,4163010090;46,4163010090;54,4337448815;46,4163010090;70,3297856035;38,3256584583;38,3256584583;46,4163010090;65,1543154771;65,1543154771;38,3256584583;13,7332064727;38,3256584583;38,3256584583;38,3256584583;13,7332064727;54,4337448815;43,5771892636;54,4337448815;141,2460422530;46,4163010090;46,4163010090;38,3256584583;43,5771892636;70,3297856035;46,4163010090;46,4163010090;38,3256584583;46,4163010090;13,7332064727;38,3256584583;46,4163010090;54,4337448815;46,4163010090;46,4163010090;38,3256584583;54,4337448815;13,7332064727;38,3256584583;38,3256584583;43,5771892636;86,0595691433;13,7332064727;46,4163010090;27,2104326724;13,7332064727;43,5771892636;38,3256584583;46,4163010090;141,2460422530;54,4337448815;54,4337448815;46,4163010090;54,4337448815;141,2460422530;141,2460422530
2027;38,6555012852;142,8192900190;44,8185210370;46,1182201982;65,2563955696;13,9293995838;46,1182201982;81,3797623809;46,1182201982;46,1182201982;38,6555012852;38,6555012852;44,8185210370;44,8185210370;13,9293995838;27,4404305061;46,1182201982;44,8185210370;93,2740572174;44,8185210370;46,1182201982;46,1182201982;46,1182201982;44,8185210370;38,6555012852;38,6555012852;46,1182201982;46,1182201982;46,1182201982;142,8192900190;13,9293995838;142,8192900190;46,1182201982;46,1182201982;57,1965901892;46,1182201982;81,3797623809;38,6555012852;38,6555012852;46,1182201982;65,2563955696;65,2563955696;38,6555012852;13,9293995838;38,6555012852;38,6555012852;38,6555012852;13,9293995838;57,1965901892;44,8185210370;57,1965901892;142,8192900190;46,1182201982;46,1182201982;38,6555012852;44,8185210370;81,3797623809;46,1182201982;46,1182201982;38,6555012852;46,1182201982;13,9293995838;38,6555012852;46,1182201982;57,1965901892;46,1182201982;46,1182201982;38,6555012852;57,1965901892;13,9293995838;38,6555012852;38,6555012852;44,8185210370;93,2740572174;13,9293995838;46,1182201982;27,4404305061;13,9293995838;44,8185210370;38,6555012852;46,1182201982;142,8192900190;57,1965901892;57,1965901892;46,1182201982;57,1965901892;142,8192900190;142,8192900190
2028;39,0154478513;143,0980862490;46,0219911580;45,7383443905;65,1342648222;14,1503868037;45,7383443905;90,1696860902;45,7383443905;45,7383443905;39,0154478513;39,0154478513;46,0219911580;46,0219911580;14,1503868037;27,6587098271;45,7383443905;46,0219911580;96,8321066500;46,0219911580;45,7383443905;45,7383443905;45,7383443905;46,0219911580;39,0154478513;39,0154478513;45,7383443905;45,7383443905;45,7383443905;143,0980862490;14,1503868037;143,0980862490;45,7383443905;45,7383443905;60,8413144763;45,7383443905;90,1696860902;39,0154478513;39,0154478513;45,7383443905;65,1342648222;65,1342648222;39,0154478513;14,1503868037;39,0154478513;39,0154478513;39,0154478513;14,1503868037;60,8413144763;46,0219911580;60,8413144763;143,0980862490;45,7383443905;45,7383443905;39,0154478513;46,0219911580;90,1696860902;45,7383443905;45,7383443905;39,0154478513;45,7383443905;14,1503868037;39,0154478513;45,7383443905;60,8413144763;45,7383443905;45,7383443905;39,0154478513;60,8413144763;14,1503868037;39,0154478513;39,0154478513;46,0219911580;96,8321066500;14,1503868037;45,7383443905;27,6587098271;14,1503868037;46,0219911580;39,0154478513;45,7383443905;143,0980862490;60,8413144763;60,8413144763;45,7383443905;60,8413144763;143,0980862490;143,0980862490
2029;39,4202643492;143,1281368450;47,2093315607;45,3998990884;64,8118978302;14,3892680492;45,3998990884;83,5190637805;45,3998990884;45,3998990884;39,4202643492;39,4202643492;47,2093315607;47,2093315607;14,3892680492;27,8915658671;45,3998990884;47,2093315607;97,8632307950;47,2093315607;45,3998990884;45,3998990884;45,3998990884;47,2093315607;39,4202643492;39,4202643492;45,3998990884;45,3998990884;45,3998990884;143,1281368450;14,3892680492;143,1281368450;45,3998990884;45,3998990884;65,5697514682;45,3998990884;83,5190637805;39,4202643492;39,4202643492;45,3998990884;64,8118978302;64,8118978302;39,4202643492;14,3892680492;39,4202643492;39,4202643492;39,4202643492;14,3892680492;65,5697514682;47,2093315607;65,5697514682;143,1281368450;45,3998990884;45,3998990884;39,4202643492;47,2093315607;83,5190637805;45,3998990884;45,3998990884;39,4202643492;45,3998990884;14,3892680492;39,4202643492;45,3998990884;65,5697514682;45,3998990884;45,3998990884;39,4202643492;65,5697514682;14,3892680492;39,4202643492;39,4202643492;47,2093315607;97,8632307950;14,3892680492;45,3998990884;27,8915658671;14,3892680492;47,2093315607;39,4202643492;45,3998990884;143,1281368450;65,5697514682;65,5697514682;45,3998990884;65,5697514682;143,1281368450;143,1281368450
