Terminals;Export_Terminal;Import_Terminal;;;
Technical Lifetime (y);30;30;;;
Amortisation Factor;0,088827433;0,088827433;;;
Capacity/tank (tLH2);3190,00;3550,00;;;
Storage length per load (d);3;20;;;
Yearly capacity (t H2 /y);388116,6667;64787,5;;;
CAPEX/tank (USD million);290;320;;;
CAPEX ($/tpa);747,1980075;4939,224387;;;
Annual OPEX (% of CAPEX);0,04;0,04;;;
Electricity use (kWh/kgH2);0,61;0,2;;;
Cost of Export without electricity ($/kg H2);0,096259602;0,636307601;;;
Boil-off (%/day);0,001;0,001;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;r
