Years;CAPEX ($/tpa) High cost new pipeline onshore;OPEX ($/tpa) High cost new pipeline onshore;CAPEX ($/tpa) High cost new pipeline offshore;OPEX ($/tpa) High cost new pipeline offshore;CAPEX ($/tpa) Low cost new pipeline onshore;OPEX ($/tpa) Low cost new pipeline onshore;CAPEX ($/tpa) Low cost new pipeline offshore;OPEX ($/tpa) Low cost new pipeline offshore;CAPEX ($/tpa) Retrofitted pipeline onshore;OPEX ($/tpa) Retrofitted pipeline onshore;CAPEX ($/tpa) Retrofitted pipeline offshore;OPEX ($/tpa) Retrofitted pipeline offshore;CAPEX (tpa) Export Terminal;OPEX (tpa) Export Terminal;Electricity Use (kwh/kg H2) Export Terminal;Boil-off (kg/kg H2) Export Terminal;CAPEX (tpa) Import Terminal;OPEX (tpa) Import Terminal;Electricity Use (kwh/kg H2) Import Terminal;Boil-off (kg/kg H2) Import Terminal;CAPEX ($/kg) Shipping;OPEX ($/kg/a) Shipping;CAPEX ($/tpa) Liquefaction;OPEX ($/t/a) Liquefaction;Elec Use (kwh/kg H2) Liquefaction
2020;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;747,1980075;29,8879203;0,61;0,003;4939,224387;197,5689755;0,2;0,02;37;1,498181818;5982,905983;239,3162393;6,1
2021;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;739,7260274;29,5890411;0,61;0,003;4889,832144;195,5932857;0,2;0,02;37,08;1,4832;5923,076923;236,9230769;6,039
2022;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;732,2540473;29,29016189;0,61;0,003;4840,4399;193,617596;0,2;0,02;36,70545455;1,468218182;5863,247863;234,5299145;5,978
2023;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;724,7820672;28,99128269;0,61;0,003;4791,047656;191,6419062;0,2;0,02;36,33090909;1,453236364;5803,418803;232,1367521;5,917
2024;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;717,3100872;28,69240349;0,61;0,003;4741,655412;189,6662165;0,2;0,02;35,95636364;1,438254545;5743,589744;229,7435897;5,856
2025;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;709,8381071;28,39352428;0,61;0,003;4692,263168;187,6905267;0,2;0,02;35,58181818;1,423272727;5683,760684;227,3504274;5,795
2026;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;702,366127;28,09464508;0,61;0,003;4642,870924;185,714837;0,2;0,02;35,20727273;1,408290909;5623,931624;224,957265;5,734
2027;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;694,8941469;27,79576588;0,61;0,003;4593,47868;183,7391472;0,2;0,02;34,83272727;1,393309091;5564,102564;222,5641026;5,673
2028;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;687,4221669;27,49688667;0,61;0,003;4544,086436;181,7634575;0,2;0,02;34,45818182;1,378327273;5504,273504;220,1709402;5,612
2029;4,745098039;0,177941176;5,931372549;0,222426471;1,777974846;0,066674057;2,222468557;0,083342571;0,977886165;0,036670731;1,222357706;0,045838414;679,9501868;27,19800747;0,61;0,003;4494,694193;179,7877677;0,2;0,02;34,08363636;1,363345455;5444,444444;217,7777778;5,551
