Years;CAPEX (tpa) Export Terminal;OPEX (tpa) Export Terminal;Electricity Use (kwh/kg H2) Export Terminal;Boil-off (kg/kg H2) Export Terminal;CAPEX (tpa) Import Terminal;OPEX (tpa) Import Terminal;Electricity Use (kwh/kg H2) Import Terminal;Boil-off (kg/kg H2) Import Terminal
2020;747,1980075;29,8879203;0,61;0,003;4939,224387;197,5689755;0,2;0,02
2021;739,7260274;29,5890411;0,61;0,003;4889,832144;195,5932857;0,2;0,02
2022;732,2540473;29,29016189;0,61;0,003;4840,4399;193,617596;0,2;0,02
2023;724,7820672;28,99128269;0,61;0,003;4791,047656;191,6419062;0,2;0,02
2024;717,3100872;28,69240349;0,61;0,003;4741,655412;189,6662165;0,2;0,02
2025;709,8381071;28,39352428;0,61;0,003;4692,263168;187,6905267;0,2;0,02
2026;702,366127;28,09464508;0,61;0,003;4642,870924;185,714837;0,2;0,02
2027;694,8941469;27,79576588;0,61;0,003;4593,47868;183,7391472;0,2;0,02
2028;687,4221669;27,49688667;0,61;0,003;4544,086436;181,7634575;0,2;0,02
2029;679,9501868;27,19800747;0,61;0,003;4494,694193;179,7877677;0,2;0,02
2030;672,4782067;26,89912827;0,61;0,003;4445,301949;177,8120779;0,2;0,02
2031;655,6662516;26,22665006;0,61;0,003;4334,1694;173,366776;0,2;0,02
2032;638,8542964;25,55417186;0,61;0,003;4223,036851;168,921474;0,2;0,02
2033;622,0423412;24,88169365;0,61;0,003;4111,904303;164,4761721;0,2;0,02
2034;605,2303861;24,20921544;0,61;0,003;4000,771754;160,0308702;0,2;0,02
2035;588,4184309;23,53673724;0,61;0,003;3889,639205;155,5855682;0,2;0,02
2036;571,6064757;22,86425903;0,61;0,003;3778,506656;151,1402663;0,2;0,02
2037;554,7945205;22,19178082;0,61;0,003;3667,374108;146,6949643;0,2;0,02
2038;537,9825654;21,51930262;0,61;0,003;3556,241559;142,2496624;0,2;0,02
2039;521,1706102;20,84682441;0,61;0,003;3445,10901;137,8043604;0,2;0,02
2040;504,358655;20,1743462;0,61;0,003;3333,976462;133,3590585;0,2;0,02
2041;487,5466999;19,501868;0,61;0,003;3222,843913;128,9137565;0,2;0,02
2042;470,7347447;18,82938979;0,61;0,003;3111,711364;124,4684546;0,2;0,02
2043;453,9227895;18,15691158;0,61;0,003;3000,578815;120,0231526;0,2;0,02
2044;437,1108344;17,48443337;0,61;0,003;2889,446267;115,5778507;0,2;0,02
2045;420,2988792;16,81195517;0,61;0,003;2778,313718;111,1325487;0,2;0,02
2046;403,486924;16,13947696;0,61;0,003;2667,181169;106,6872468;0,2;0,02
2047;386,6749689;15,46699875;0,61;0,003;2556,04862;102,2419448;0,2;0,02
2048;369,8630137;14,79452055;0,61;0,003;2444,916072;97,79664287;0,2;0,02
2049;353,0510585;14,12204234;0,61;0,003;2333,783523;93,35134092;0,2;0,02
2050;336,2391034;13,44956413;0,61;0,003;2222,650974;88,90603897;0,2;0,02
