Years;Capex ($/kW ) NGR with CCS;Opex ($/kW/a) NGR with CCS;Capex ($/kW )  Pyrolysis;Opex ($/kW/a) Pyrolysis
2020;1627;48,81;;
2021;1600;48;;
2022;1573;47,19;;
2023;1547;46,41;;
2024;1520;45,6;;
2025;1493;44,79;;
2026;1467;44,01;;
2027;1440;43,2;;
2028;1413;42,39;;
2029;1387;41,61;;
2030;1360;40,8;;
2031;1356;40,68;;
2032;1352;40,56;;
2033;1348;40,44;;
2034;1344;40,32;;
2035;1340;40,2;761;38,05
2036;1336;40,08;735;36,75
2037;1332;39,96;711;35,55
2038;1328;39,84;687;34,35
2039;1324;39,72;664;33,2
2040;1320;39,6;642;32,1
2041;1316;39,48;620;31
2042;1312;39,36;600;30
2043;1308;39,24;579;28,95
2044;1304;39,12;560;28
2045;1300;39;541;27,05
2046;1296;38,88;523;26,15
2047;1292;38,76;506;25,3
2048;1288;38,64;489;24,45
2049;1284;38,52;472;23,6
2050;1280;38,4;457;22,85
