Years;Capex ($/kW ) NGR with CCS;Opex ($/kW/a) NGR with CCS;Capex ($/kW)  Pyrolysis;Opex ($/kW/a) Pyrolysis;Gas prices ($/MWh) in the EU update;Gas prices ($/MWh) in the EU;CO2 price ($/t_co2) EU ETS;CO2 price ($/t_co2) Advanced economies (IEA);;;
2020;1627;48,81;;;24,89;24,89;35,76448619;28;;35;90,29
2021;1600;48;;;25,13;25,13;81,74739701;36;;80;
2022;1573;47,19;;;160;25,37;90,29;45;;88,36;1,021842463
2023;1547;46,41;;;150;25,61;99,7931349;52;;97,66;
2024;1520;45,6;;;110;25,84;104,1870575;60;;101,96;
2025;1493;44,79;;;114,843334;26,08;108,7744459;67;;;1,044030309
2026;1467;44,01;;;119,8999215;26,32;113,5638183;75;;;
2027;1440;43,2;;;125,1791521;26,56;118,5640684;81;;;
2028;1413;42,39;;;130,6908289;26,8;123,784481;88;;;
2029;1387;41,61;;;136,4451865;27,04;129,23475;94;;;
2030;1360;40,8;;;142,4529103;27,28;134,924996;100;;;
2031;1356;40,68;;;148,725156;26,91;140,8657853;106;;;
2032;1352;40,56;;;155,2735706;26,55;147,0681493;111;;;
2033;1348;40,44;;;162,1103139;26,18;153,5436054;116;;;
2034;1344;40,32;;;169,2480812;25,82;160,3041779;121;;;
2035;1340;40,2;761;38,05;176,7001265;25,46;167,3624204;126;;;
2036;1336;40,08;735;36,75;184,4802877;25,09;174,7314395;130;;;
2037;1332;39,96;711;35,55;192,6030119;24,73;182,4249188;134;;;
2038;1328;39,84;687;34,35;201,083382;24,37;190,4571444;138;;;
2039;1324;39,72;664;33,2;209,9371455;24;198,8430314;141;;;
2040;1320;39,6;642;32,1;219,180743;23,64;207,5981515;144;;;
2041;1316;39,48;620;31;228,8313389;23,27;216,7387623;147;;;
2042;1312;39,36;600;30;238,9068535;22,91;226,2818371;150;;;
2043;1308;39,24;579;28,95;249,4259961;22,55;236,2450963;152;;;
2044;1304;39,12;560;28;260,4082998;22,18;246,647041;154;;;
2045;1300;39;541;27,05;271,8741578;21,82;257,5069865;156;;;
2046;1296;38,88;523;26,15;283,8448611;21,46;268,8450987;157;;;
2047;1292;38,76;506;25,3;296,3426381;21,09;280,6824315;158;;;
2048;1288;38,64;489;24,45;309,3906961;20,73;293,0409658;159;;;
2049;1284;38,52;472;23,6;323,0132641;20,36;305,9436501;160;;;
2050;1280;38,4;457;22,85;337,235638;20;319,4144437;160;;;
