Country;Electrolyzer;RES;RES ID;ID;Assumptions;Potential (GW);original CF;;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
United Arab Emirates;low_temp;Onshore;United_Arab_Emirates_Onshore_3;United_Arab_Emirates_Onshore_3_low_temp_baseline;baseline;122;0,22;;0,378718207;0,376549868;0,374381529;0,37221319;0,37004485;0,367876511;0,365708172;0,363539832;0,361371493;0,359203154;0,357034815;0,35653501;0,356035205;0,355535401;0,355035596;0,354535792;0,354035987;0,353536183;0,353036378;0,352536573;0,352036769;0,351337859;0,350638949;0,349940039;0,349241129;0,348542219;0,34784331;0,3471444;0,34644549;0,34574658;0,34504767
United Arab Emirates;low_temp;Offshore_1;United_Arab_Emirates_Offshore_1;United_Arab_Emirates_Offshore_1_low_temp_baseline;baseline;70;0,19;;0,290420659;0,289184814;0,287948969;0,286713124;0,285477279;0,284241434;0,283005589;0,281769744;0,280533899;0,279298054;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,278062209;0,277856888;0,277651567;0,277446245;0,277240924;0,277035603;0,276830281;0,27662496;0,276419639;0,276214317;0,276008996
United Arab Emirates;low_temp;Offshore_2;United_Arab_Emirates_Offshore_2;United_Arab_Emirates_Offshore_2_low_temp_baseline;baseline;31;0,19;;0,268904131;0,267877332;0,266850533;0,265823734;0,264796935;0,263770136;0,262743337;0,261716538;0,260689739;0,259662941;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,258636142;0,25834567;0,258055199;0,257764728;0,257474257;0,257183785;0,256893314;0,256602843;0,256312372;0,2560219;0,255731429
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_2;United_Arab_Emirates_PV_2_low_temp_baseline;baseline;30;0,22;;0,307468988;0,307125204;0,30678142;0,306437636;0,306093851;0,305750067;0,305406283;0,305062498;0,304718714;0,30437493;0,304031146;0,30415646;0,304281775;0,30440709;0,304532405;0,30465772;0,304783034;0,304908349;0,305033664;0,305158979;0,305284294;0,305253036;0,305221778;0,30519052;0,305159262;0,305128004;0,305096747;0,305065489;0,305034231;0,305002973;0,304971715
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_3;United_Arab_Emirates_PV_3_low_temp_baseline;baseline;335;0,21;;0,297617056;0,297319872;0,297022689;0,296725506;0,296428323;0,29613114;0,295833957;0,295536773;0,29523959;0,294942407;0,294645224;0,294744611;0,294843998;0,294943385;0,295042772;0,295142159;0,295241546;0,295340932;0,295440319;0,295539706;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093;0,295639093
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_4;United_Arab_Emirates_PV_4_low_temp_baseline;baseline;234;0,19;;0,284770453;0,284450588;0,284130723;0,283810857;0,283490992;0,283171127;0,282851262;0,282531397;0,282211532;0,281891667;0,281571802;0,281679169;0,281786536;0,281893904;0,282001271;0,282108639;0,282216006;0,282323373;0,282430741;0,282538108;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476;0,282645476
United Arab Emirates;high_temp;Onshore;United_Arab_Emirates_Onshore_3;United_Arab_Emirates_Onshore_3_high_temp_baseline;baseline;122;0,22;;0,542303078;0,534328751;0,526354425;0,518380099;0,510405772;0,502431446;0,494457119;0,486482793;0,478508467;0,47053414;0,462559814;0,459843727;0,45712764;0,454411553;0,451695465;0,448979378;0,446263291;0,443547204;0,440831117;0,43811503;0,435398943;0,430814872;0,426230801;0,42164673;0,41706266;0,412478589;0,407894518;0,403310448;0,398726377;0,394142306;0,389558235
United Arab Emirates;high_temp;Offshore_1;United_Arab_Emirates_Offshore_1;United_Arab_Emirates_Offshore_1_high_temp_baseline;baseline;70;0,19;;0,411402771;0,404111831;0,396820891;0,38952995;0,38223901;0,37494807;0,36765713;0,36036619;0,353075249;0,345784309;0,338493369;0,337190037;0,335886705;0,334583373;0,33328004;0,331976708;0,330673376;0,329370044;0,328066712;0,326763379;0,325460047;0,32295807;0,320456092;0,317954115;0,315452138;0,31295016;0,310448183;0,307946205;0,305444228;0,302942251;0,300440273
United Arab Emirates;high_temp;Offshore_2;United_Arab_Emirates_Offshore_2;United_Arab_Emirates_Offshore_2_high_temp_baseline;baseline;31;0,19;;0,364904694;0,359475335;0,354045977;0,348616618;0,343187259;0,337757901;0,332328542;0,326899183;0,321469825;0,316040466;0,310611107;0,309332624;0,308054141;0,306775658;0,305497175;0,304218692;0,30294021;0,301661727;0,300383244;0,299104761;0,297826278;0,295672598;0,293518918;0,291365238;0,289211557;0,287057877;0,284904197;0,282750517;0,280596837;0,278443157;0,276289477
United Arab Emirates;high_temp;PV;United_Arab_Emirates_PV_2;United_Arab_Emirates_PV_2_high_temp_baseline;baseline;30;0,22;;0,360351626;0,358314681;0,356277735;0,354240789;0,352203843;0,350166897;0,348129951;0,346093006;0,34405606;0,342019114;0,339982168;0,339388132;0,338794096;0,33820006;0,337606024;0,337011988;0,336417951;0,335823915;0,335229879;0,334635843;0,334041807;0,332779022;0,331516238;0,330253453;0,328990669;0,327727884;0,3264651;0,325202315;0,323939531;0,322676746;0,321413962
United Arab Emirates;high_temp;PV;United_Arab_Emirates_PV_3;United_Arab_Emirates_PV_3_high_temp_baseline;baseline;335;0,21;;0,348958427;0,347033959;0,345109492;0,343185024;0,341260557;0,339336089;0,337411622;0,335487154;0,333562687;0,33163822;0,329713752;0,329122484;0,328531216;0,327939948;0,327348679;0,326757411;0,326166143;0,325574875;0,324983607;0,324392338;0,32380107;0,322652969;0,321504869;0,320356768;0,319208667;0,318060566;0,316912465;0,315764365;0,314616264;0,313468163;0,312320062
United Arab Emirates;high_temp;PV;United_Arab_Emirates_PV_4;United_Arab_Emirates_PV_4_high_temp_baseline;baseline;234;0,19;;0,334624282;0,332752907;0,330881532;0,329010157;0,327138782;0,325267407;0,323396032;0,321524657;0,319653282;0,317781907;0,315910532;0,315378335;0,314846138;0,314313941;0,313781745;0,313249548;0,312717351;0,312185155;0,311652958;0,311120761;0,310588564;0,309413239;0,308237913;0,307062587;0,305887261;0,304711935;0,30353661;0,302361284;0,301185958;0,300010632;0,298835307
Angola;low_temp;PV;Angola_PV_4;Angola_PV_4_low_temp_baseline;baseline;4381;0,18;;0,277580542;0,277240392;0,276900241;0,276560091;0,276219941;0,275879791;0,27553964;0,27519949;0,27485934;0,274519189;0,274179039;0,274264408;0,274349776;0,274435145;0,274520514;0,274605882;0,274691251;0,27477662;0,274861988;0,274947357;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725;0,275032725
Angola;high_temp;PV;Angola_PV_4;Angola_PV_4_high_temp_baseline;baseline;4381;0,18;;0,331110543;0,329146252;0,327181962;0,325217671;0,32325338;0,32128909;0,319324799;0,317360508;0,315396217;0,313431927;0,311467636;0,310875813;0,31028399;0,309692167;0,309100344;0,30850852;0,307916697;0,307324874;0,306733051;0,306141228;0,305549405;0,304224774;0,302900143;0,301575511;0,30025088;0,298926249;0,297601618;0,296276987;0,294952356;0,293627725;0,292303094
