Country;Electrolyzer;RES;RES ID;ID;Assumptions;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
United Arab Emirates;low_temp;Onshore;United_Arab_Emirates_Onshore_3;United_Arab_Emirates_Onshore_3_low_temp_baseline;baseline;5,453357633;5,311494495;5,186315744;5,074229749;4,97267603;4,879767592;4,794075358;4,714492092;4,640143162;4,570326078;4,504468391;4,406884448;4,33249364;4,260956682;4,192424384;4,127613014;4,0642885;4,002802018;3,947018378;3,89073528;3,834397161;3,786235337;3,740591603;3,696265982;3,659453536;3,567586943;3,519348513;3,473127721;3,428752303;3,386071727;3,344953674
United Arab Emirates;low_temp;Offshore_1;United_Arab_Emirates_Offshore_1;United_Arab_Emirates_Offshore_1_low_temp_baseline;baseline;9,344448415;9,047272057;8,799155065;8,586133462;8,399403506;8,233070547;8,083001416;7,946190201;7,820384932;7,703856443;7,59524917;7,385286463;7,204697628;7,043248861;6,896699603;6,762435187;6,639606009;6,523900893;6,415677638;6,315508264;6,217864236;6,103707618;5,995255367;5,89467981;5,80627185;5,668551267;5,578630031;5,494204354;5,414591915;5,339231828;5,267657497
United Arab Emirates;low_temp;Offshore_2;United_Arab_Emirates_Offshore_2;United_Arab_Emirates_Offshore_2_low_temp_baseline;baseline;13,22277327;12,80572122;12,45794162;12,1597129;11,89860261;11,66628734;11,45693155;11,26629169;11,09118894;10,92918275;10,77836008;10,48040361;10,22413137;9,995020659;9,787053726;9,59652012;9,422214172;9,258017925;9,104439131;8,962289537;8,823723643;8,661559178;8,507494313;8,364611197;8,238997954;8,043415988;7,915664252;7,795713998;7,682596683;7,575516135;7,473810016
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_2;United_Arab_Emirates_PV_2_low_temp_baseline;baseline;1,982384326;1,87855774;1,793178484;1,721022545;1,658762195;1,604156925;1,555631741;1,512040513;1,472525202;1,436428037;1,40323453;1,362934542;1,326637604;1,292998774;1,261785004;1,232126798;1,203492547;1,177012351;1,151878443;1,128232908;1,105415081;1,081461645;1,057950846;1,035896421;1,019051645;0,979224908;0,958094696;0,938291919;0,919667809;0,902096878;0,885472354
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_3;United_Arab_Emirates_PV_3_low_temp_baseline;baseline;2,092896161;1,983550132;1,893656959;1,817706901;1,752190361;1,694744476;1,643708307;1,597873231;1,556334461;1,518398415;1,48352262;1,44080382;1,402323372;1,366658699;1,33356282;1,302116231;1,271756769;1,243678275;1,217026753;1,191951967;1,167755618;1,142563487;1,117834124;1,094638885;1,076944722;1,034957132;1,01272388;0,991889535;0,97229723;0,953814646;0,936329206
United Arab Emirates;low_temp;PV;United_Arab_Emirates_PV_4;United_Arab_Emirates_PV_4_low_temp_baseline;baseline;2,266240041;2,147651411;2,05014246;1,967743319;1,8966512;1,834305786;1,77890729;1,729146026;1,684041521;1,642842158;1,604960056;1,558787975;1,517198757;1,478653643;1,442885665;1,408900152;1,376088978;1,345744062;1,316941509;1,289843516;1,263694558;1,236432726;1,20967168;1,184570797;1,16542294;1,119985789;1,095925926;1,0733799;1,052177956;1,032176904;1,013254918
United Arab Emirates;high_temp;Onshore;United_Arab_Emirates_Onshore_3;United_Arab_Emirates_Onshore_3_high_temp_baseline;baseline;5,5897065;5,398956861;5,226284902;5,067687243;4,920291808;4,781965693;4,651078456;4,526352433;4,406764364;4,291478583;4,17980033;4,093338347;4,028023361;3,96499875;3,904420805;3,846972418;3,790585774;3,735599286;3,685632648;3,634907119;3,583844244;3,538309964;3,494753967;3,452056636;3,416002045;3,328210686;3,280789209;3,23489533;3,190367426;3,147063373;3,104857299
United Arab Emirates;high_temp;Offshore_1;United_Arab_Emirates_Offshore_1;United_Arab_Emirates_Offshore_1_high_temp_baseline;baseline;9,3050774;8,930829095;8,607434106;8,320103802;8,059453518;7,81914709;7,594694019;7,382783421;7,180891038;6,987035153;6,799618343;6,623468628;6,472821891;6,338621958;6,217148306;6,106119986;6,004834537;5,909446932;5,820321854;5,738019282;5,657550068;5,558563482;5,464260219;5,376646767;5,299667101;5,177202376;5,097930364;5,023256731;4,95257394;4,885382797;4,821268138
United Arab Emirates;high_temp;Offshore_2;United_Arab_Emirates_Offshore_2;United_Arab_Emirates_Offshore_2_high_temp_baseline;baseline;12,60897032;12,12828109;11,71637534;11,35351755;11,02721583;10,72906596;10,45314066;10,19509821;9,951657024;9,72026985;9,498913025;9,255127462;9,046882808;8,861543953;8,693924623;8,540847075;8,401338946;8,270029128;8,147433906;8,034343649;7,923777742;7,790116256;7,662956975;7,545126369;7,442179866;7,275285638;7,169009285;7,069166192;6,974913715;6,885559919;6,800529765
United Arab Emirates;high_temp;PV;United_Arab_Emirates_PV_2;United_Arab_Emirates_PV_2_high_temp_baseline;baseline;2,28661622;2,137893284;2,012833985;1,904825056;1,809638287;1,724416334;1,647143062;1,576345753;1,51091761;1,450006825;1,392944456;1,352352939;1,315707439;1,281674007;1,250022181;1,21989122;1,190756312;1,163736666;1,138033295;1,113786854;1,090345363;1,063768326;1,037659142;1,013011157;0,993476125;0,951614351;0,928020238;0,90575319;0,88466197;0,864619001;0,845515732
