Years;CAPEX ($/kg) Shipping;OPEX ($/kg/a) Shipping
2020;37,45454545;1,498181818
2021;37,08;1,4832
2022;36,70545455;1,468218182
2023;36,33090909;1,453236364
2024;35,95636364;1,438254545
2025;35,58181818;1,423272727
2026;35,20727273;1,408290909
2027;34,83272727;1,393309091
2028;34,45818182;1,378327273
2029;34,08363636;1,363345455
2030;33,70909091;1,348363636
2031;32,86636364;1,314654545
2032;32,02363636;1,280945455
2033;31,18090909;1,247236364
2034;30,33818182;1,213527273
2035;29,49545455;1,179818182
2036;28,65272727;1,146109091
2037;27,81;1,1124
2038;26,96727273;1,078690909
2039;26,12454545;1,044981818
2040;25,28181818;1,011272727
2041;24,43909091;0,977563636
2042;23,59636364;0,943854545
2043;22,75363636;0,910145455
2044;21,91090909;0,876436364
2045;21,06818182;0,842727273
2046;20,22545455;0,809018182
2047;19,38272727;0,775309091
2048;18,54;0,7416
2049;17,69727273;0,707890909
2050;16,85454545;0,674181818
