Years;CAPEX ($/kW) Low temperature optimistic ;CAPEX ($/kW) Low temperature baseline ;CAPEX ($/kW) High temperature optimistic ;CAPEX ($/kW) High temperature baseline;Effiency (%) Low temperature;Effiency (%) High temperature;Electrolyzer Characteristics (low & high temperature);Parameter
2020;500;950;2400;4000;0,67;0,78;Lifetime (years);25
2021;490;917,5;2240;3780;0,67;0,78;Interest rate (%);0,08
2022;480;885;2080;3560;0,67;0,78;Amortisation factor (%);0,09
2023;470;852,5;1920;3340;0,67;0,78;OPEX (in % of CAPEX/a);0,02
2024;460;820;1760;3120;0,67;0,79;LHV (kWh/kg H2);33,3
2025;450;787,5;1600;2900;0,67;0,79;;
2026;440;755;1440;2680;0,67;0,79;;
2027;430;722,5;1280;2460;0,68;0,8;;
2028;420;690;1120;2240;0,68;0,8;;
2029;410;657,5;960;2020;0,68;0,8;;
2030;400;625;800;1800;0,68;0,81;;
2031;390;616,25;785;1747,5;0,68;0,81;;
2032;380;607,5;770;1695;0,69;0,81;;
2033;370;598,75;755;1642,5;0,69;0,81;;
2034;360;590;740;1590;0,69;0,81;;
2035;350;581,25;725;1537,5;0,7;0,81;;
2036;340;572,5;710;1485;0,7;0,81;;
2037;330;563,75;695;1432,5;0,7;0,82;;
2038;320;555;680;1380;0,71;0,82;;
2039;310;546,25;665;1327,5;0,71;0,82;;
2040;300;537,5;650;1275;0,72;0,82;;
2041;290;528,75;635;1222,5;0,72;0,82;;
2042;280;520;620;1170;0,72;0,82;;
2043;270;511,25;605;1117,5;0,73;0,82;;
2044;260;502,5;590;1065;0,73;0,83;;
2045;250;493,75;575;1012,5;0,73;0,83;;
2046;240;485;560;960;0,74;0,83;;
2047;230;476,25;545;907,5;0,74;0,83;;
2048;220;467,5;530;855;0,74;0,83;;
2049;210;458,75;515;802,5;0,75;0,83;;
2050;200;450;500;750;0,75;0,84;;
