Pipelines;Pipeline High;Pipeline Low;Pipeline Retrofit;;;
Technical Lifetime (y);40;40;40;;;
Amortisation factor (%);0,08;0,08;0,08;;;
CAPEX (mio$/km);1,21;;;;;
CAPEX ($/tpa/km);3,56;1,33;0,73;;;
design throughput (kt H2/y);340;3400;3400;;;
real throughput (kt H2/y);255;;;;;
OPEX & Fuel (% of CAPEX/a);0,05;0,05;0,05;;;
utilisation (%);0,75;0,75;0,75;;;
Cost of pipeline transport  ($/1000km/kg H2);0,64;0,24;0,13;;;
Interest rate (%);0,08;0,08;0,08;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;r
