Origin_Country;Destination_Country;sea distance (km);onshore distance (km);offshore distance (km);Starting point
United Arab Emirates;Germany;12443,1;;;
Angola;Germany;9809,65;;;
Argentina;Germany;14063,9;;;
Austria;Germany;6005,96;500;0;
Australia;Germany;21212,1;;;
Azerbaijan;Germany;6601,17;;;
Estonia;Germany;1630,63;1300;;Smiltene (Latvia)
Bangladesh;Germany;15544,3;;;
Belgium;Germany;435,907;450;0;
Bulgaria;Germany;6144,55;;;
Bahrain;Germany;12917,1;;;
Brunei darussalam;Germany;17577,5;;;
Bolivia;Germany;12511,9;;;
Brazil;Germany;10409,3;;;
Belarus;Germany;1408,05;1000;;Minsk
Canada;Germany;5417,07;;;
Switzerland;Germany;3769,58;550;0;
Chile;Germany;12510,5;;;
China;Germany;20484,5;;;
Colombia;Germany;6879,01;;;
Czech Republic;Germany;0;500;0;
Germany;Germany;0;;;
Denmark;Germany;813,914;550;0;
Dominican Republic;Germany;5798,5;;;
Algeria;Germany;3173,57;2400;375;
Egypt;Germany;6629,51;;;
Spain;Germany;2697,2;1400;;Madrid
Finland;Germany;1646,96;800;140;
France;Germany;3768,47;600;;Saint-Maurice-la-Souterraine
Ghana;Germany;7592,95;;;
Georgia;Germany;6880,24;;;
Equatorial Guinea;Germany;8648,2;;;
Greece;Germany;5499,86;1700;;Ampelia (403 00)
Hungary;Germany;6005,96;500;;Budapest
Indonesia;Germany;16946,9;;;
Ireland;Germany;1418,95;1000;200;Athlone
India;Germany;12687,3;;;
Iraq;Germany;13377,2;;;
Iran;Germany;12508,6;;;
Italy;Germany;4063,66;900;;Rom
Japan;Germany;21391,2;;;
Republic of Korea;Germany;21070,7;;;
Kuwait;Germany;13352,8;;;
Kazakhstan;Germany;6601,17;;;
Israel;Germany;6854,45;;;
Libya;Germany;4760,14;;;
Morocco;Germany;2668,91;2100;50;
Moldova;Germany;6447,59;;;
Myanmar;Germany;15461,9;;;
Mexico;Germany;10255,8;;;
Malaysia;Germany;15945,3;;;
Nigeria;Germany;7951,84;;;
Netherlands;Germany;403,134;600;0;
Norway;Germany;602,403;300;650;
Oman;Germany;10799,4;;;
Peru;Germany;9104,22;;;
Pakistan;Germany;12201,6;;;
Poland;Germany;1166,3;1000;;
Portugal;Germany;2033,13;1900;;Coimbra
Qatar;Germany;12830,8;;;
Romania;Germany;6447,1;1100;;Coroi
Russian Federation;Germany;6600,67;1000;2000;
Russian Federation;Germany;6600,67;;;
Russian Federation;Germany;6600,67;;;
Russian Federation;Germany;6600,67;6000;0;
Russian Federation;Germany;6600,67;6000;0;
Russian Federation;Germany;6600,67;6000;0;
Saudi Arabia;Germany;8294,03;;;
Sweden;Germany;601,938;324;150;Jönköping
Singapore;Germany;16294,6;;;
Slovenia;Germany;6005,38;300;;Ljubljana
Slovakia;Germany;6005,96;550;;Velke Zlievce
Syria;Germany;6672,62;;;
Thailand;Germany;18076,5;;;
Turkmenistan;Germany;12508,4;;;
Tunisia;Germany;4114,71;;;
Turkey;Germany;5918,28;;;
Trinidad and Tobago;Germany;6279,06;;;
Taiwan;Germany;19486,1;;;
Ukraine;Germany;6648,54;;;
United Kingdom;Germany;540,628;600;80;Leicester
United States;Germany;8319,37;;;
United States;Germany;8319,37;;;
United States;Germany;8319,37;;;
United States;Germany;8319,37;;;
Uzbekistan;Germany;12201,8;;;
Venezuela;Germany;6553,84;;;
Yemen;Germany;9768,26;;;
Croatia;Germany;5925,71;;;
Mozambique;Germany;14350,9;;;
Vietnam;Germany;17589,9;;;
Philippines;Germany;18853,3;;;
Iceland;Germany;1012,38;;;
Papua New Guinea;Germany;21143,3;;;
Cameroon;Germany;8469,23;;;
South Africa;Germany;13869,6;;;
United Arab Emirates;Spain;8993,74;;;
Angola;Spain;7650,75;;;
Argentina;Spain;11765,6;;;
Austria;Spain;3131,74;1800;;Liezen
Australia;Spain;17761,3;;;
Azerbaijan;Spain;3900,92;;;
Estonia;Spain;4115,16;3300;;Smiltene (Latvia)
Bangladesh;Spain;12040;;;
Belgium;Spain;2442,08;1100;;Brussels
Bulgaria;Spain;3444,88;;;
Bahrain;Spain;9460,69;;;
Brunei darussalam;Spain;13807,7;;;
Bolivia;Spain;13257,8;;;
Brazil;Spain;8824,13;;;
Belarus;Spain;4074,55;3000;;Minsk
Canada;Spain;4673,53;;;
Switzerland;Spain;1069,6;1200;;Wolhusen
Chile;Spain;13257,2;;;
China;Spain;16838,3;;;
Colombia;Spain;7282,7;;;
